assessment,assessment_status,type_of_assessment,is_custom,grade,module,curriculum,school,date_launched,date_completed,overall_points_achieved,overall_points_possible,overall_percentage,performance_band
"Grade 3, Module 4, Topic D Quiz 1",open,TQ,FALSE,3,4,em2ca,Driftwood Elementary School,2/26/25,2/26/25,6,7,86,advanced
"Grade 5, Module 5, Topic A Quiz 2",open,TQ,FALSE,5,5,em2ca,Heritage Pines Elementary School,9/22/25,9/22/25,6,6,100,advanced
"Grade 5, Module 2, Topic E Quiz 1",open,TQ,FALSE,5,2,em2ca,Heritage Pines Elementary School,4/15/25,4/15/25,16,16,100,advanced
"Grade 4, Module 5, Topic F Quiz 2",open,TQ,FALSE,4,5,em2ca,Copperfield Elementary School,7/16/25,7/16/25,10,17,59,partially proficient
"Grade 5, Module 6, Topic D Quiz 3",open,TQ,FALSE,5,6,em2ca,Aspen Grove Elementary School,2/25/25,2/25/25,10,14,71,proficient
"Grade 4, Module 2, Topic C Quiz 2",open,TQ,FALSE,4,2,em2ca,Heritage Pines Elementary School,2/13/25,2/13/25,12,13,92,advanced
"Grade 5, Module 2, Topic F Quiz 1",open,TQ,FALSE,5,2,em2ca,Lantern Hill Elementary School,8/16/25,8/16/25,7,8,88,advanced
"Grade 5, Module 5, Topic D Quiz 3",open,TQ,FALSE,5,5,em2ca,Hawthorn Park Elementary School,10/25/25,10/25/25,7,9,78,proficient
"Grade 4, Module 2, Topic B Quiz 3",open,TQ,FALSE,4,2,em2ca,Heritage Pines Elementary School,7/20/25,7/20/25,14,16,88,advanced
"Grade 5, Module 2, Topic D Quiz 2",open,TQ,FALSE,5,2,em2ca,Driftwood Elementary School,11/5/25,11/5/25,12,12,100,advanced
"Grade 4, Module 2, Topic C Quiz 2",open,TQ,FALSE,4,2,em2ca,Cobblestone Elementary School,5/5/25,5/5/25,3,13,23,not yet proficient
"Grade 4, Module 1, Topic B Quiz 3",open,TQ,FALSE,4,1,em2ca,Lantern Hill Elementary School,6/26/25,6/26/25,10,15,67,proficient
"Grade 5, Module 4, Topic F Quiz 2",open,TQ,FALSE,5,4,em2ca,Sunflower Ridge Elementary School,5/27/25,5/27/25,2,10,20,not yet proficient
"Grade 4, Module 6, Topic C Quiz 1",open,TQ,FALSE,4,6,em2ca,Riverbend Elementary School,5/1/25,5/1/25,3,6,50,partially proficient
"Grade 5, Module 5, Topic F Quiz 3",open,TQ,FALSE,5,5,em2ca,Birchwood Elementary School,6/23/25,6/23/25,4,15,27,not yet proficient
"Grade 4, Module 2, Topic C Quiz 3",open,TQ,FALSE,4,2,em2ca,Songbird Meadows Elementary School,3/23/25,3/23/25,6,7,86,advanced
"Grade 3, Module 3, Topic F Quiz 1",open,TQ,FALSE,3,3,em2ca,Marigold Elementary School,9/9/25,9/9/25,11,18,61,partially proficient
"Grade 5, Module 1, Topic B Quiz 2",open,TQ,FALSE,5,1,em2ca,Crescent Cove Elementary School,4/26/25,4/26/25,14,16,88,advanced
"Grade 5, Module 3, Topic D Quiz 2",open,TQ,FALSE,5,3,em2ca,Heritage Pines Elementary School,1/15/25,1/15/25,10,11,91,advanced
"Grade 4, Module 3, Topic C Quiz 2",open,TQ,FALSE,4,3,em2ca,Sunflower Ridge Elementary School,9/6/25,9/6/25,3,13,23,not yet proficient
"Grade 3, Module 1, Topic E Quiz 3",open,TQ,FALSE,3,1,em2ca,Hawthorn Park Elementary School,2/25/25,2/25/25,9,12,75,proficient
"Grade 5, Module 4, Topic F Quiz 3",open,TQ,FALSE,5,4,em2ca,Cobblestone Elementary School,5/8/25,5/8/25,2,16,13,not yet proficient
"Grade 5, Module 5, Topic F Quiz 3",open,TQ,FALSE,5,5,em2ca,Periwinkle Elementary School,1/6/25,1/6/25,11,12,92,advanced
"Grade 3, Module 1, Topic A Quiz 2",open,TQ,FALSE,3,1,em2ca,Hawthorn Park Elementary School,7/22/25,7/22/25,8,11,73,proficient
"Grade 5, Module 4, Topic C Quiz 3",open,TQ,FALSE,5,4,em2ca,Hawthorn Park Elementary School,5/22/25,5/22/25,7,8,88,advanced
"Grade 4, Module 5, Topic D Quiz 1",open,TQ,FALSE,4,5,em2ca,Sunflower Ridge Elementary School,11/15/25,11/15/25,4,13,31,not yet proficient
"Grade 4, Module 3, Topic E Quiz 1",open,TQ,FALSE,4,3,em2ca,Periwinkle Elementary School,2/24/25,2/24/25,6,8,75,proficient
"Grade 5, Module 3, Topic E Quiz 2",open,TQ,FALSE,5,3,em2ca,Hawthorn Park Elementary School,8/19/25,8/19/25,14,17,82,advanced
"Grade 4, Module 2, Topic D Quiz 3",open,TQ,FALSE,4,2,em2ca,Quartz Creek Elementary School,2/5/25,2/5/25,10,15,67,proficient
"Grade 5, Module 2, Topic E Quiz 1",open,TQ,FALSE,5,2,em2ca,Driftwood Elementary School,7/14/25,7/14/25,18,18,100,advanced
"Grade 5, Module 1, Topic B Quiz 2",open,TQ,FALSE,5,1,em2ca,Copperfield Elementary School,2/2/25,2/2/25,15,18,83,advanced
"Grade 4, Module 3, Topic E Quiz 3",open,TQ,FALSE,4,3,em2ca,Songbird Meadows Elementary School,1/25/25,1/25/25,5,7,71,proficient
"Grade 5, Module 4, Topic A Quiz 3",open,TQ,FALSE,5,4,em2ca,Hawthorn Park Elementary School,10/19/25,10/19/25,7,10,70,proficient
"Grade 5, Module 3, Topic E Quiz 2",open,TQ,FALSE,5,3,em2ca,Sequoia Elementary School,9/23/25,9/23/25,16,16,100,advanced
"Grade 5, Module 4, Topic E Quiz 2",open,TQ,FALSE,5,4,em2ca,Cobblestone Elementary School,3/9/25,3/9/25,4,14,29,not yet proficient
"Grade 3, Module 3, Topic D Quiz 3",open,TQ,FALSE,3,3,em2ca,Heritage Pines Elementary School,2/3/25,2/3/25,9,14,64,partially proficient
"Grade 4, Module 5, Topic E Quiz 3",open,TQ,FALSE,4,5,em2ca,Copperfield Elementary School,11/16/25,11/16/25,6,14,43,not yet proficient
"Grade 5, Module 1, Topic B Quiz 2",open,TQ,FALSE,5,1,em2ca,Wildflower Elementary School,10/15/25,10/15/25,11,17,65,proficient
"Grade 5, Module 4, Topic B Quiz 2",open,TQ,FALSE,5,4,em2ca,Crescent Cove Elementary School,8/27/25,8/27/25,8,9,89,advanced
"Grade 4, Module 3, Topic B Quiz 1",open,TQ,FALSE,4,3,em2ca,Driftwood Elementary School,10/25/25,10/25/25,8,10,80,advanced
"Grade 3, Module 1, Topic A Quiz 2",open,TQ,FALSE,3,1,em2ca,Cobblestone Elementary School,3/9/25,3/9/25,3,16,19,not yet proficient
"Grade 5, Module 1, Topic D Quiz 1",open,TQ,FALSE,5,1,em2ca,Driftwood Elementary School,6/18/25,6/18/25,7,7,100,advanced
"Grade 5, Module 4, Topic D Quiz 1",open,TQ,FALSE,5,4,em2ca,Glacier Peak Elementary School,10/20/25,10/20/25,10,14,71,proficient
"Grade 5, Module 4, Topic A Quiz 1",open,TQ,FALSE,5,4,em2ca,Lantern Hill Elementary School,7/26/25,7/26/25,9,16,56,partially proficient
"Grade 3, Module 1, Topic B Quiz 3",open,TQ,FALSE,3,1,em2ca,Sunflower Ridge Elementary School,2/24/25,2/24/25,2,16,13,not yet proficient
"Grade 3, Module 3, Topic C Quiz 1",open,TQ,FALSE,3,3,em2ca,Thornberry Elementary School,11/14/25,11/14/25,1,7,14,not yet proficient
"Grade 5, Module 1, Topic B Quiz 1",open,TQ,FALSE,5,1,em2ca,Glacier Peak Elementary School,8/7/25,8/7/25,14,17,82,advanced
"Grade 5, Module 5, Topic E Quiz 3",open,TQ,FALSE,5,5,em2ca,Songbird Meadows Elementary School,7/6/25,7/6/25,8,9,89,advanced
"Grade 4, Module 5, Topic A Quiz 2",open,TQ,FALSE,4,5,em2ca,Aspen Grove Elementary School,9/8/25,9/8/25,6,9,67,proficient
"Grade 4, Module 4, Topic B Quiz 1",open,TQ,FALSE,4,4,em2ca,Marigold Elementary School,6/19/25,6/19/25,7,11,64,partially proficient
"Grade 3, Module 3, Topic E Quiz 1",open,TQ,FALSE,3,3,em2ca,Marigold Elementary School,3/2/25,3/2/25,13,17,76,proficient
"Grade 5, Module 5, Topic E Quiz 2",open,TQ,FALSE,5,5,em2ca,Wildflower Elementary School,4/11/25,4/11/25,6,10,60,partially proficient
"Grade 5, Module 5, Topic B Quiz 1",open,TQ,FALSE,5,5,em2ca,Sequoia Elementary School,10/3/25,10/3/25,14,14,100,advanced
"Grade 3, Module 4, Topic D Quiz 3",open,TQ,FALSE,3,4,em2ca,Wildflower Elementary School,11/22/25,11/22/25,4,9,44,not yet proficient
"Grade 4, Module 4, Topic C Quiz 1",open,TQ,FALSE,4,4,em2ca,Thornberry Elementary School,10/25/25,10/25/25,2,12,17,not yet proficient
"Grade 4, Module 1, Topic C Quiz 3",open,TQ,FALSE,4,1,em2ca,Thornberry Elementary School,2/11/25,2/11/25,7,14,50,partially proficient
"Grade 3, Module 1, Topic D Quiz 2",open,TQ,FALSE,3,1,em2ca,Cobblestone Elementary School,1/2/25,1/2/25,0,7,0,not yet proficient
"Grade 5, Module 1, Topic F Quiz 3",open,TQ,FALSE,5,1,em2ca,Wildflower Elementary School,6/8/25,6/8/25,5,7,71,proficient
